study: 1from: 4000 successful	time increment: 0.4288954734802246	 total time: 0.4288954734802246
study: 2from: 4000 successful	time increment: 0.21677255630493164	 total time: 0.6456680297851562
study: 3from: 4000 successful	time increment: 0.1661067008972168	 total time: 0.811774730682373
study: 4from: 4000 successful	time increment: 0.20209002494812012	 total time: 1.0138647556304932
study: 5from: 4000 successful	time increment: 0.20950555801391602	 total time: 1.2233703136444092
study: 6from: 4000 successful	time increment: 0.17631769180297852	 total time: 1.3996880054473877
study: 7from: 4000 successful	time increment: 0.21557140350341797	 total time: 1.6152594089508057
study: 8from: 4000 successful	time increment: 0.1965162754058838	 total time: 1.8117756843566895
study: 9from: 4000 successful	time increment: 0.38110852241516113	 total time: 2.1928842067718506
study: 10from: 4000 successful	time increment: 0.24351286888122559	 total time: 2.436397075653076
study: 11from: 4000 successful	time increment: 0.17033934593200684	 total time: 2.606736421585083
study: 12from: 4000 successful	time increment: 0.2141880989074707	 total time: 2.8209245204925537
study: 13from: 4000 successful	time increment: 0.11287117004394531	 total time: 2.933795690536499
study: 14from: 4000 successful	time increment: 0.169389009475708	 total time: 3.103184700012207
study: 15from: 4000 successful	time increment: 0.1704246997833252	 total time: 3.2736093997955322
study: 16from: 4000 successful	time increment: 0.17735934257507324	 total time: 3.4509687423706055
study: 17from: 4000 successful	time increment: 0.16242527961730957	 total time: 3.613394021987915
study: 18from: 4000 successful	time increment: 0.19181609153747559	 total time: 3.8052101135253906
study: 19from: 4000 successful	time increment: 0.12850284576416016	 total time: 3.933712959289551
study: 20from: 4000 successful	time increment: 0.26068115234375	 total time: 4.194394111633301
study: 21from: 4000 successful	time increment: 0.27237725257873535	 total time: 4.466771364212036
study: 22from: 4000 successful	time increment: 0.2105255126953125	 total time: 4.677296876907349
study: 23from: 4000 successful	time increment: 0.286604642868042	 total time: 4.963901519775391
study: 24from: 4000 successful	time increment: 0.34618139266967773	 total time: 5.310082912445068
study: 25from: 4000 successful	time increment: 0.26604604721069336	 total time: 5.576128959655762
study: 26from: 4000 successful	time increment: 0.17999815940856934	 total time: 5.756127119064331
study: 27from: 4000 successful	time increment: 0.20986628532409668	 total time: 5.965993404388428
study: 28from: 4000 successful	time increment: 0.11838030815124512	 total time: 6.084373712539673
study: 29from: 4000 successful	time increment: 0.23557281494140625	 total time: 6.319946527481079
study: 30from: 4000 successful	time increment: 0.3628730773925781	 total time: 6.682819604873657
study: 31from: 4000 successful	time increment: 0.16094541549682617	 total time: 6.843765020370483
study: 32from: 4000 successful	time increment: 0.24880647659301758	 total time: 7.092571496963501
study: 33from: 4000 successful	time increment: 0.2228374481201172	 total time: 7.315408945083618
study: 34from: 4000 successful	time increment: 0.35373735427856445	 total time: 7.669146299362183
study: 35from: 4000 successful	time increment: 0.21343302726745605	 total time: 7.882579326629639
study: 36from: 4000 successful	time increment: 0.1352248191833496	 total time: 8.017804145812988
study: 37from: 4000 successful	time increment: 0.274458646774292	 total time: 8.29226279258728
study: 38from: 4000 successful	time increment: 0.31816649436950684	 total time: 8.610429286956787
study: 39from: 4000 successful	time increment: 0.22771334648132324	 total time: 8.83814263343811
study: 40from: 4000 successful	time increment: 0.22568655014038086	 total time: 9.063829183578491
study: 41from: 4000 successful	time increment: 0.2812793254852295	 total time: 9.34510850906372
study: 42from: 4000 successful	time increment: 0.29932403564453125	 total time: 9.644432544708252
study: 43from: 4000 successful	time increment: 0.24257779121398926	 total time: 9.887010335922241
study: 44from: 4000 successful	time increment: 0.1736891269683838	 total time: 10.060699462890625
study: 45from: 4000 successful	time increment: 0.26850414276123047	 total time: 10.329203605651855
study: 46from: 4000 successful	time increment: 0.10326552391052246	 total time: 10.432469129562378
study: 47from: 4000 successful	time increment: 0.287273645401001	 total time: 10.719742774963379
study: 48from: 4000 successful	time increment: 0.17414093017578125	 total time: 10.89388370513916
study: 49from: 4000 successful	time increment: 0.13824105262756348	 total time: 11.032124757766724
study: 50from: 4000 successful	time increment: 0.2035233974456787	 total time: 11.235648155212402
study: 51from: 4000 successful	time increment: 0.2583303451538086	 total time: 11.493978500366211
study: 52from: 4000 successful	time increment: 0.23439788818359375	 total time: 11.728376388549805
study: 53from: 4000 successful	time increment: 0.18683481216430664	 total time: 11.915211200714111
study: 54from: 4000 successful	time increment: 0.16787266731262207	 total time: 12.083083868026733
study: 55from: 4000 successful	time increment: 0.17556500434875488	 total time: 12.258648872375488
study: 56from: 4000 successful	time increment: 0.10170173645019531	 total time: 12.360350608825684
study: 57from: 4000 successful	time increment: 0.30040502548217773	 total time: 12.660755634307861
study: 58from: 4000 successful	time increment: 0.15929675102233887	 total time: 12.8200523853302
study: 59from: 4000 successful	time increment: 0.20413589477539062	 total time: 13.02418828010559
study: 60from: 4000 successful	time increment: 0.2647402286529541	 total time: 13.288928508758545
study: 61from: 4000 successful	time increment: 0.2692708969116211	 total time: 13.558199405670166
study: 62from: 4000 successful	time increment: 0.15699100494384766	 total time: 13.715190410614014
study: 63from: 4000 successful	time increment: 0.37964844703674316	 total time: 14.094838857650757
study: 64from: 4000 successful	time increment: 0.18501520156860352	 total time: 14.27985405921936
study: 65from: 4000 successful	time increment: 0.20308542251586914	 total time: 14.48293948173523
study: 66from: 4000 successful	time increment: 0.18070769309997559	 total time: 14.663647174835205
study: 67from: 4000 successful	time increment: 0.2392277717590332	 total time: 14.902874946594238
study: 68from: 4000 successful	time increment: 0.20952582359313965	 total time: 15.112400770187378
study: 69from: 4000 successful	time increment: 0.1928565502166748	 total time: 15.305257320404053
study: 70from: 4000 successful	time increment: 0.33490610122680664	 total time: 15.64016342163086
study: 71from: 4000 successful	time increment: 0.29448747634887695	 total time: 15.934650897979736
study: 72from: 4000 successful	time increment: 0.20818138122558594	 total time: 16.142832279205322
study: 73from: 4000 successful	time increment: 0.22362804412841797	 total time: 16.36646032333374
study: 74from: 4000 successful	time increment: 0.28105592727661133	 total time: 16.64751625061035
study: 75from: 4000 successful	time increment: 0.18262100219726562	 total time: 16.830137252807617
study: 76from: 4000 successful	time increment: 0.2537698745727539	 total time: 17.08390712738037
study: 77from: 4000 successful	time increment: 0.23566937446594238	 total time: 17.319576501846313
study: 78from: 4000 successful	time increment: 0.2802431583404541	 total time: 17.599819660186768
study: 79from: 4000 successful	time increment: 0.2645130157470703	 total time: 17.864332675933838
study: 80from: 4000 successful	time increment: 0.16060209274291992	 total time: 18.024934768676758
study: 81from: 4000 successful	time increment: 0.17937850952148438	 total time: 18.204313278198242
study: 82from: 4000 successful	time increment: 0.3051745891571045	 total time: 18.509487867355347
study: 83from: 4000 successful	time increment: 0.24666476249694824	 total time: 18.756152629852295
study: 84from: 4000 successful	time increment: 0.21163582801818848	 total time: 18.967788457870483
study: 85from: 4000 successful	time increment: 0.21600079536437988	 total time: 19.183789253234863
study: 86from: 4000 successful	time increment: 0.20196914672851562	 total time: 19.38575839996338
study: 87from: 4000 successful	time increment: 0.20966696739196777	 total time: 19.595425367355347
study: 88from: 4000 successful	time increment: 0.14902281761169434	 total time: 19.74444818496704
study: 89from: 4000 successful	time increment: 0.2515091896057129	 total time: 19.995957374572754
study: 90from: 4000 successful	time increment: 0.26466822624206543	 total time: 20.26062560081482
study: 91from: 4000 successful	time increment: 0.3343522548675537	 total time: 20.594977855682373
study: 92from: 4000 successful	time increment: 0.30432724952697754	 total time: 20.89930510520935
study: 93from: 4000 successful	time increment: 0.27851104736328125	 total time: 21.177816152572632
study: 94from: 4000 successful	time increment: 0.21698713302612305	 total time: 21.394803285598755
study: 95from: 4000 successful	time increment: 0.25270748138427734	 total time: 21.647510766983032
study: 96from: 4000 successful	time increment: 0.18204879760742188	 total time: 21.829559564590454
study: 97from: 4000 successful	time increment: 0.2087550163269043	 total time: 22.03831458091736
study: 98from: 4000 successful	time increment: 0.2744619846343994	 total time: 22.312776565551758
study: 99from: 4000 successful	time increment: 0.13883233070373535	 total time: 22.451608896255493
study: 100from: 4000 successful	time increment: 0.3523283004760742	 total time: 22.803937196731567
study: 101from: 4000 successful	time increment: 0.29738283157348633	 total time: 23.101320028305054
study: 102from: 4000 successful	time increment: 0.19098949432373047	 total time: 23.292309522628784
study: 103from: 4000 successful	time increment: 0.2232065200805664	 total time: 23.51551604270935
study: 104from: 4000 successful	time increment: 0.1829831600189209	 total time: 23.69849920272827
study: 105from: 4000 successful	time increment: 0.2056429386138916	 total time: 23.904142141342163
study: 106from: 4000 successful	time increment: 0.2632181644439697	 total time: 24.167360305786133
study: 107from: 4000 successful	time increment: 0.23294496536254883	 total time: 24.40030527114868
study: 108from: 4000 successful	time increment: 0.271209716796875	 total time: 24.671514987945557
study: 109from: 4000 successful	time increment: 0.22498321533203125	 total time: 24.896498203277588
study: 110from: 4000 successful	time increment: 0.28555750846862793	 total time: 25.182055711746216
study: 111from: 4000 successful	time increment: 0.22055745124816895	 total time: 25.402613162994385
study: 112from: 4000 successful	time increment: 0.19566941261291504	 total time: 25.5982825756073
study: 113from: 4000 successful	time increment: 0.2090764045715332	 total time: 25.807358980178833
study: 114from: 4000 successful	time increment: 0.2387242317199707	 total time: 26.046083211898804
study: 115from: 4000 successful	time increment: 0.26067423820495605	 total time: 26.30675745010376
study: 116from: 4000 successful	time increment: 0.24628496170043945	 total time: 26.5530424118042
study: 117from: 4000 successful	time increment: 0.18652057647705078	 total time: 26.73956298828125
study: 118from: 4000 successful	time increment: 0.16280484199523926	 total time: 26.90236783027649
study: 119from: 4000 successful	time increment: 0.25626301765441895	 total time: 27.158630847930908
study: 120from: 4000 successful	time increment: 0.28620004653930664	 total time: 27.444830894470215
study: 121from: 4000 successful	time increment: 0.2669234275817871	 total time: 27.711754322052002
study: 122from: 4000 successful	time increment: 0.2186121940612793	 total time: 27.93036651611328
study: 123from: 4000 successful	time increment: 0.23729443550109863	 total time: 28.16766095161438
study: 124from: 4000 successful	time increment: 0.18270182609558105	 total time: 28.35036277770996
study: 125from: 4000 successful	time increment: 0.19765543937683105	 total time: 28.548018217086792
study: 126from: 4000 successful	time increment: 0.2331695556640625	 total time: 28.781187772750854
study: 127from: 4000 successful	time increment: 0.32738351821899414	 total time: 29.10857129096985
study: 128from: 4000 successful	time increment: 0.18510127067565918	 total time: 29.293672561645508
study: 129from: 4000 successful	time increment: 0.19494414329528809	 total time: 29.488616704940796
study: 130from: 4000 successful	time increment: 0.1937427520751953	 total time: 29.68235945701599
study: 131from: 4000 successful	time increment: 0.1568756103515625	 total time: 29.839235067367554
study: 132from: 4000 successful	time increment: 0.10046195983886719	 total time: 29.93969702720642
study: 133from: 4000 successful	time increment: 0.30088257789611816	 total time: 30.24057960510254
study: 134from: 4000 successful	time increment: 0.28902220726013184	 total time: 30.52960181236267
study: 135from: 4000 successful	time increment: 0.33489441871643066	 total time: 30.8644962310791
study: 136from: 4000 successful	time increment: 0.2898073196411133	 total time: 31.154303550720215
study: 137from: 4000 successful	time increment: 0.2101881504058838	 total time: 31.3644917011261
study: 138from: 4000 successful	time increment: 0.2747344970703125	 total time: 31.63922619819641
study: 139from: 4000 successful	time increment: 0.2584342956542969	 total time: 31.897660493850708
study: 140from: 4000 successful	time increment: 0.1752791404724121	 total time: 32.07293963432312
study: 141from: 4000 successful	time increment: 0.3671238422393799	 total time: 32.4400634765625
study: 142from: 4000 successful	time increment: 0.12634897232055664	 total time: 32.56641244888306
study: 143from: 4000 successful	time increment: 0.2502288818359375	 total time: 32.816641330718994
study: 144from: 4000 successful	time increment: 0.22608256340026855	 total time: 33.04272389411926
study: 145from: 4000 successful	time increment: 0.1454458236694336	 total time: 33.188169717788696
study: 146from: 4000 successful	time increment: 0.24439120292663574	 total time: 33.43256092071533
study: 147from: 4000 successful	time increment: 0.25803518295288086	 total time: 33.69059610366821
study: 148from: 4000 successful	time increment: 0.18401789665222168	 total time: 33.874614000320435
study: 149from: 4000 successful	time increment: 0.12853121757507324	 total time: 34.00314521789551
study: 150from: 4000 successful	time increment: 0.2773561477661133	 total time: 34.28050136566162
study: 151from: 4000 successful	time increment: 0.4600541591644287	 total time: 34.74055552482605
study: 152from: 4000 successful	time increment: 0.29834842681884766	 total time: 35.0389039516449
study: 153from: 4000 successful	time increment: 0.2925703525543213	 total time: 35.33147430419922
study: 154from: 4000 successful	time increment: 0.12696170806884766	 total time: 35.458436012268066
study: 155from: 4000 successful	time increment: 0.17883658409118652	 total time: 35.63727259635925
study: 156from: 4000 successful	time increment: 0.18415093421936035	 total time: 35.82142353057861
study: 157from: 4000 successful	time increment: 0.3768010139465332	 total time: 36.19822454452515
study: 158from: 4000 successful	time increment: 0.13968777656555176	 total time: 36.3379123210907
study: 159from: 4000 successful	time increment: 0.22270774841308594	 total time: 36.560620069503784
study: 160from: 4000 successful	time increment: 0.29013681411743164	 total time: 36.850756883621216
study: 161from: 4000 successful	time increment: 0.31433725357055664	 total time: 37.16509413719177
study: 162from: 4000 successful	time increment: 0.25733518600463867	 total time: 37.42242932319641
study: 163from: 4000 successful	time increment: 0.2464427947998047	 total time: 37.668872117996216
study: 164from: 4000 successful	time increment: 0.24398565292358398	 total time: 37.9128577709198
study: 165from: 4000 successful	time increment: 0.21831893920898438	 total time: 38.131176710128784
study: 166from: 4000 successful	time increment: 0.3137648105621338	 total time: 38.44494152069092
study: 167from: 4000 successful	time increment: 0.21372413635253906	 total time: 38.65866565704346
study: 168from: 4000 successful	time increment: 0.2109379768371582	 total time: 38.869603633880615
study: 169from: 4000 successful	time increment: 0.2540249824523926	 total time: 39.12362861633301
