study: 1from: 200 successful	time increment: 2.197467565536499	 total time: 2.197467565536499
study: 2from: 200 successful	time increment: 0.04991722106933594	 total time: 2.247384786605835
study: 3from: 200 successful	time increment: 0.0734710693359375	 total time: 2.3208558559417725
study: 4from: 200 successful	time increment: 0.1812419891357422	 total time: 2.5020978450775146
study: 5from: 200 successful	time increment: 0.07501959800720215	 total time: 2.577117443084717
study: 6from: 200 successful	time increment: 0.0956873893737793	 total time: 2.672804832458496
study: 7from: 200 successful	time increment: 0.04863929748535156	 total time: 2.7214441299438477
study: 8from: 200 successful	time increment: 0.0885772705078125	 total time: 2.81002140045166
study: 9from: 200 successful	time increment: 0.18481874465942383	 total time: 2.994840145111084
study: 10from: 200 successful	time increment: 0.0883028507232666	 total time: 3.0831429958343506
study: 11from: 200 successful	time increment: 0.09172940254211426	 total time: 3.174872398376465
study: 12from: 200 successful	time increment: 0.07128548622131348	 total time: 3.2461578845977783
study: 13from: 200 successful	time increment: 0.05008840560913086	 total time: 3.296246290206909
study: 14from: 200 successful	time increment: 0.10342240333557129	 total time: 3.3996686935424805
study: 15from: 200 successful	time increment: 0.14355707168579102	 total time: 3.5432257652282715
study: 16from: 200 successful	time increment: 0.02904653549194336	 total time: 3.572272300720215
study: 17from: 200 successful	time increment: 0.04111218452453613	 total time: 3.613384485244751
study: 18from: 200 successful	time increment: 0.09569644927978516	 total time: 3.709080934524536
study: 19from: 200 successful	time increment: 0.08725094795227051	 total time: 3.7963318824768066
study: 20from: 200 successful	time increment: 0.02605414390563965	 total time: 3.8223860263824463
study: 21from: 200 successful	time increment: 0.04243612289428711	 total time: 3.8648221492767334
study: 22from: 200 successful	time increment: 0.0970003604888916	 total time: 3.961822509765625
study: 23from: 200 successful	time increment: 0.10499405860900879	 total time: 4.066816568374634
study: 24from: 200 successful	time increment: 0.06670284271240234	 total time: 4.133519411087036
study: 25from: 200 successful	time increment: 0.1263723373413086	 total time: 4.259891748428345
study: 26from: 200 successful	time increment: 0.14365029335021973	 total time: 4.4035420417785645
study: 27from: 200 successful	time increment: 0.053048133850097656	 total time: 4.456590175628662
study: 28from: 200 successful	time increment: 0.0932619571685791	 total time: 4.549852132797241
study: 29from: 200 successful	time increment: 0.10968732833862305	 total time: 4.659539461135864
study: 30from: 200 successful	time increment: 0.013245105743408203	 total time: 4.6727845668792725
study: 31from: 200 successful	time increment: 0.10306763648986816	 total time: 4.775852203369141
study: 32from: 200 successful	time increment: 0.06313800811767578	 total time: 4.838990211486816
study: 33from: 200 successful	time increment: 0.12194108963012695	 total time: 4.960931301116943
study: 34from: 200 successful	time increment: 0.10387253761291504	 total time: 5.064803838729858
study: 35from: 200 successful	time increment: 0.06382894515991211	 total time: 5.1286327838897705
study: 36from: 200 successful	time increment: 0.1353926658630371	 total time: 5.264025449752808
study: 37from: 200 successful	time increment: 0.13509845733642578	 total time: 5.399123907089233
study: 38from: 200 successful	time increment: 0.08885574340820312	 total time: 5.4879796504974365
study: 39from: 200 successful	time increment: 0.09664034843444824	 total time: 5.584619998931885
study: 40from: 200 successful	time increment: 0.08867716789245605	 total time: 5.673297166824341
study: 41from: 200 successful	time increment: 0.18542981147766113	 total time: 5.858726978302002
study: 42from: 200 successful	time increment: 0.08392643928527832	 total time: 5.94265341758728
study: 43from: 200 successful	time increment: 0.06528520584106445	 total time: 6.007938623428345
study: 44from: 200 successful	time increment: 0.059173583984375	 total time: 6.06711220741272
study: 45from: 200 successful	time increment: 0.0046808719635009766	 total time: 6.071793079376221
study: 46from: 200 successful	time increment: 0.050675153732299805	 total time: 6.1224682331085205
study: 47from: 200 successful	time increment: 0.1157996654510498	 total time: 6.23826789855957
study: 48from: 200 successful	time increment: 0.07488131523132324	 total time: 6.3131492137908936
study: 49from: 200 successful	time increment: 0.10104584693908691	 total time: 6.4141950607299805
study: 50from: 200 successful	time increment: 0.07002401351928711	 total time: 6.484219074249268
study: 51from: 200 successful	time increment: 0.09293603897094727	 total time: 6.577155113220215
study: 52from: 200 successful	time increment: 0.11008810997009277	 total time: 6.687243223190308
study: 53from: 200 successful	time increment: 0.09399056434631348	 total time: 6.781233787536621
study: 54from: 200 successful	time increment: 0.01992058753967285	 total time: 6.801154375076294
study: 55from: 200 successful	time increment: 0.05304312705993652	 total time: 6.8541975021362305
study: 56from: 200 successful	time increment: 0.05236077308654785	 total time: 6.906558275222778
study: 57from: 200 successful	time increment: 0.04275250434875488	 total time: 6.949310779571533
study: 58from: 200 successful	time increment: 0.13542509078979492	 total time: 7.084735870361328
study: 59from: 200 successful	time increment: 0.10746288299560547	 total time: 7.192198753356934
study: 60from: 200 successful	time increment: 0.15729904174804688	 total time: 7.3494977951049805
study: 61from: 200 successful	time increment: 0.05363130569458008	 total time: 7.4031291007995605
study: 62from: 200 successful	time increment: 0.0799264907836914	 total time: 7.483055591583252
study: 63from: 200 successful	time increment: 0.04789543151855469	 total time: 7.530951023101807
study: 64from: 200 successful	time increment: 0.05144357681274414	 total time: 7.582394599914551
study: 65from: 200 successful	time increment: 0.043955087661743164	 total time: 7.626349687576294
study: 66from: 200 successful	time increment: 0.033822059631347656	 total time: 7.660171747207642
study: 67from: 200 successful	time increment: 0.02243208885192871	 total time: 7.68260383605957
study: 68from: 200 successful	time increment: 0.042172908782958984	 total time: 7.724776744842529
study: 69from: 200 successful	time increment: 0.052330732345581055	 total time: 7.77710747718811
study: 70from: 200 successful	time increment: 0.0657501220703125	 total time: 7.842857599258423
study: 71from: 200 successful	time increment: 0.07694053649902344	 total time: 7.919798135757446
study: 72from: 200 successful	time increment: 0.1489734649658203	 total time: 8.068771600723267
study: 73from: 200 successful	time increment: 0.1299607753753662	 total time: 8.198732376098633
study: 74from: 200 successful	time increment: 0.029979228973388672	 total time: 8.228711605072021
study: 75from: 200 successful	time increment: 0.07492542266845703	 total time: 8.303637027740479
study: 76from: 200 successful	time increment: 0.05962991714477539	 total time: 8.363266944885254
study: 77from: 200 successful	time increment: 0.12720656394958496	 total time: 8.490473508834839
study: 78from: 200 successful	time increment: 0.2957897186279297	 total time: 8.786263227462769
study: 79from: 200 successful	time increment: 0.13466429710388184	 total time: 8.92092752456665
study: 80from: 200 successful	time increment: 0.0972282886505127	 total time: 9.018155813217163
study: 81from: 200 successful	time increment: 0.03488326072692871	 total time: 9.053039073944092
study: 82from: 200 successful	time increment: 0.07485246658325195	 total time: 9.127891540527344
study: 83from: 200 successful	time increment: 0.04876542091369629	 total time: 9.17665696144104
study: 84from: 200 successful	time increment: 0.08640074729919434	 total time: 9.263057708740234
study: 85from: 200 successful	time increment: 0.04178047180175781	 total time: 9.304838180541992
study: 86from: 200 successful	time increment: 0.180009126663208	 total time: 9.4848473072052
study: 87from: 200 successful	time increment: 0.03502845764160156	 total time: 9.519875764846802
study: 88from: 200 successful	time increment: 0.05088973045349121	 total time: 9.570765495300293
study: 89from: 200 successful	time increment: 0.05748701095581055	 total time: 9.628252506256104
study: 90from: 200 successful	time increment: 0.16010618209838867	 total time: 9.788358688354492
study: 91from: 200 successful	time increment: 0.04575300216674805	 total time: 9.83411169052124
study: 92from: 200 successful	time increment: 0.09389805793762207	 total time: 9.928009748458862
study: 93from: 200 successful	time increment: 0.08025503158569336	 total time: 10.008264780044556
study: 94from: 200 successful	time increment: 0.12675118446350098	 total time: 10.135015964508057
study: 95from: 200 successful	time increment: 0.026617765426635742	 total time: 10.161633729934692
study: 96from: 200 successful	time increment: 0.07657122611999512	 total time: 10.238204956054688
study: 97from: 200 successful	time increment: 0.06649112701416016	 total time: 10.304696083068848
study: 98from: 200 successful	time increment: 0.06816911697387695	 total time: 10.372865200042725
study: 99from: 200 successful	time increment: 0.06592440605163574	 total time: 10.43878960609436
study: 100from: 200 successful	time increment: 0.11039042472839355	 total time: 10.549180030822754
study: 101from: 200 successful	time increment: 0.07953953742980957	 total time: 10.628719568252563
study: 102from: 200 successful	time increment: 0.041628122329711914	 total time: 10.670347690582275
study: 103from: 200 successful	time increment: 0.054866790771484375	 total time: 10.72521448135376
study: 104from: 200 successful	time increment: 0.05366706848144531	 total time: 10.778881549835205
study: 105from: 200 successful	time increment: 0.018916606903076172	 total time: 10.797798156738281
study: 106from: 200 successful	time increment: 0.09784722328186035	 total time: 10.895645380020142
study: 107from: 200 successful	time increment: 0.08066678047180176	 total time: 10.976312160491943
study: 108from: 200 successful	time increment: 0.04336810111999512	 total time: 11.019680261611938
study: 109from: 200 successful	time increment: 0.11365509033203125	 total time: 11.13333535194397
study: 110from: 200 successful	time increment: 0.09224414825439453	 total time: 11.225579500198364
study: 111from: 200 successful	time increment: 0.13046574592590332	 total time: 11.356045246124268
study: 112from: 200 successful	time increment: 0.09062647819519043	 total time: 11.446671724319458
study: 113from: 200 successful	time increment: 0.039795637130737305	 total time: 11.486467361450195
study: 114from: 200 successful	time increment: 0.12930583953857422	 total time: 11.61577320098877
study: 115from: 200 successful	time increment: 0.09164190292358398	 total time: 11.707415103912354
study: 116from: 200 successful	time increment: 0.1651763916015625	 total time: 11.872591495513916
study: 117from: 200 successful	time increment: 0.0993959903717041	 total time: 11.97198748588562
study: 118from: 200 successful	time increment: 0.06234264373779297	 total time: 12.034330129623413
study: 119from: 200 successful	time increment: 0.05873894691467285	 total time: 12.093069076538086
study: 120from: 200 successful	time increment: 0.09006977081298828	 total time: 12.183138847351074
study: 121from: 200 successful	time increment: 0.2672100067138672	 total time: 12.450348854064941
study: 122from: 200 successful	time increment: 0.020832300186157227	 total time: 12.471181154251099
study: 123from: 200 successful	time increment: 0.019562721252441406	 total time: 12.49074387550354
study: 124from: 200 successful	time increment: 0.018146991729736328	 total time: 12.508890867233276
study: 125from: 200 successful	time increment: 0.08248639106750488	 total time: 12.591377258300781
study: 126from: 200 successful	time increment: 0.10258316993713379	 total time: 12.693960428237915
study: 127from: 200 successful	time increment: 0.07814693450927734	 total time: 12.772107362747192
study: 128from: 200 successful	time increment: 0.09310436248779297	 total time: 12.865211725234985
study: 129from: 200 successful	time increment: 0.05080151557922363	 total time: 12.916013240814209
study: 130from: 200 successful	time increment: 0.12208914756774902	 total time: 13.038102388381958
study: 131from: 200 successful	time increment: 0.07230663299560547	 total time: 13.110409021377563
study: 132from: 200 successful	time increment: 0.11198163032531738	 total time: 13.22239065170288
study: 133from: 200 successful	time increment: 0.025876283645629883	 total time: 13.24826693534851
study: 134from: 200 successful	time increment: 0.026227474212646484	 total time: 13.274494409561157
study: 135from: 200 successful	time increment: 0.054169654846191406	 total time: 13.328664064407349
study: 136from: 200 successful	time increment: 0.01987290382385254	 total time: 13.348536968231201
study: 137from: 200 successful	time increment: 0.05121040344238281	 total time: 13.399747371673584
study: 138from: 200 successful	time increment: 0.043821096420288086	 total time: 13.443568468093872
study: 139from: 200 successful	time increment: 0.034941673278808594	 total time: 13.47851014137268
study: 140from: 200 successful	time increment: 0.10091423988342285	 total time: 13.579424381256104
study: 141from: 200 successful	time increment: 0.12198448181152344	 total time: 13.701408863067627
study: 142from: 200 successful	time increment: 0.02593827247619629	 total time: 13.727347135543823
study: 143from: 200 successful	time increment: 0.07749104499816895	 total time: 13.804838180541992
study: 144from: 200 successful	time increment: 0.11273813247680664	 total time: 13.917576313018799
study: 145from: 200 successful	time increment: 0.11545491218566895	 total time: 14.033031225204468
study: 146from: 200 successful	time increment: 0.035208702087402344	 total time: 14.06823992729187
study: 147from: 200 successful	time increment: 0.06427955627441406	 total time: 14.132519483566284
study: 148from: 200 successful	time increment: 0.07530593872070312	 total time: 14.207825422286987
study: 149from: 200 successful	time increment: 0.04426145553588867	 total time: 14.252086877822876
study: 150from: 200 successful	time increment: 0.03397107124328613	 total time: 14.286057949066162
study: 151from: 200 successful	time increment: 0.0691521167755127	 total time: 14.355210065841675
study: 152from: 200 successful	time increment: 0.0710904598236084	 total time: 14.426300525665283
study: 153from: 200 successful	time increment: 0.03544020652770996	 total time: 14.461740732192993
study: 154from: 200 successful	time increment: 0.16610264778137207	 total time: 14.627843379974365
study: 155from: 200 successful	time increment: 0.10558199882507324	 total time: 14.733425378799438
study: 156from: 200 successful	time increment: 0.19061756134033203	 total time: 14.92404294013977
study: 157from: 200 successful	time increment: 0.06696224212646484	 total time: 14.991005182266235
study: 158from: 200 successful	time increment: 0.0669393539428711	 total time: 15.057944536209106
study: 159from: 200 successful	time increment: 0.1634223461151123	 total time: 15.221366882324219
study: 160from: 200 successful	time increment: 0.07093453407287598	 total time: 15.292301416397095
study: 161from: 200 successful	time increment: 0.018673419952392578	 total time: 15.310974836349487
study: 162from: 200 successful	time increment: 0.02726602554321289	 total time: 15.3382408618927
study: 163from: 200 successful	time increment: 0.10371804237365723	 total time: 15.441958904266357
study: 164from: 200 successful	time increment: 0.1233060359954834	 total time: 15.56526494026184
study: 165from: 200 successful	time increment: 0.16681838035583496	 total time: 15.732083320617676
study: 166from: 200 successful	time increment: 0.05456948280334473	 total time: 15.78665280342102
study: 167from: 200 successful	time increment: 0.07816791534423828	 total time: 15.864820718765259
study: 168from: 200 successful	time increment: 0.12469792366027832	 total time: 15.989518642425537
study: 169from: 200 successful	time increment: 0.04851984977722168	 total time: 16.03803849220276
study: 170from: 200 successful	time increment: 0.10710525512695312	 total time: 16.145143747329712
study: 171from: 200 successful	time increment: 0.06767129898071289	 total time: 16.212815046310425
study: 172from: 200 successful	time increment: 0.04265642166137695	 total time: 16.2554714679718
study: 173from: 200 successful	time increment: 0.09342074394226074	 total time: 16.348892211914062
study: 174from: 200 successful	time increment: 0.07331585884094238	 total time: 16.422208070755005
study: 175from: 200 successful	time increment: 0.06615948677062988	 total time: 16.488367557525635
study: 176from: 200 successful	time increment: 0.10561180114746094	 total time: 16.593979358673096
study: 177from: 200 successful	time increment: 0.02584981918334961	 total time: 16.619829177856445
study: 178from: 200 successful	time increment: 0.06350827217102051	 total time: 16.683337450027466
study: 179from: 200 successful	time increment: 0.058206796646118164	 total time: 16.741544246673584
study: 180from: 200 successful	time increment: 0.07090258598327637	 total time: 16.81244683265686
study: 181from: 200 successful	time increment: 0.060636043548583984	 total time: 16.873082876205444
study: 182from: 200 successful	time increment: 0.11806654930114746	 total time: 16.991149425506592
study: 183from: 200 successful	time increment: 0.09595775604248047	 total time: 17.087107181549072
study: 184from: 200 successful	time increment: 0.0885763168334961	 total time: 17.17568349838257
study: 185from: 200 successful	time increment: 0.10274505615234375	 total time: 17.278428554534912
study: 186from: 200 successful	time increment: 0.14206409454345703	 total time: 17.42049264907837
study: 187from: 200 successful	time increment: 0.07810449600219727	 total time: 17.498597145080566
study: 188from: 200 successful	time increment: 0.03627133369445801	 total time: 17.534868478775024
study: 189from: 200 successful	time increment: 0.11055731773376465	 total time: 17.64542579650879
study: 190from: 200 successful	time increment: 0.07463383674621582	 total time: 17.720059633255005
study: 191from: 200 successful	time increment: 0.11854743957519531	 total time: 17.8386070728302
study: 192from: 200 successful	time increment: 0.09899330139160156	 total time: 17.9376003742218
study: 193from: 200 successful	time increment: 0.03449678421020508	 total time: 17.972097158432007
study: 194from: 200 successful	time increment: 0.07713484764099121	 total time: 18.049232006072998
study: 195from: 200 successful	time increment: 0.10568499565124512	 total time: 18.154917001724243
study: 196from: 200 successful	time increment: 0.09314131736755371	 total time: 18.248058319091797
study: 197from: 200 successful	time increment: 0.05473971366882324	 total time: 18.30279803276062
study: 198from: 200 successful	time increment: 0.16783857345581055	 total time: 18.47063660621643
study: 199from: 200 successful	time increment: 0.09749126434326172	 total time: 18.568127870559692
study: 200from: 200 successful	time increment: 0.08253645896911621	 total time: 18.65066432952881
